inventory_id,store_id,product_id,stock_quantity,reorder_level,last_restock_date
1,1,204,461,27,2025-02-04
2,1,267,230,34,2026-02-03
3,1,153,98,27,2025-12-31
4,1,10,73,33,2026-02-03
5,1,234,30,40,2025-05-07
6,1,227,114,50,2025-01-02
7,1,197,167,32,2025-11-14
8,1,110,247,45,2025-03-16
9,1,6,401,27,2025-06-13
10,1,176,248,30,2025-11-06
11,1,238,452,44,2025-04-13
12,1,58,421,22,2025-11-02
13,1,219,309,17,2025-06-01
14,1,46,375,13,2026-01-12
15,1,183,453,22,2025-09-26
16,1,222,409,42,2025-05-25
17,1,290,127,34,2025-08-05
18,1,212,358,10,2025-06-02
19,1,149,133,23,2025-03-15
20,1,166,151,11,2025-01-15
21,1,79,333,36,2025-02-10
22,1,114,188,39,2026-02-02
23,1,250,465,19,2025-08-17
24,1,251,320,34,2025-10-12
25,1,105,80,48,2025-08-16
26,1,43,388,30,2025-02-25
27,1,282,479,27,2025-08-22
28,1,296,141,22,2025-12-28
29,1,158,310,39,2025-05-26
30,1,239,83,47,2025-03-07
31,1,18,165,11,2025-03-05
32,1,165,26,30,2025-10-10
33,1,34,244,33,2025-03-14
34,1,25,161,34,2025-10-09
35,1,216,13,50,2025-08-11
36,1,120,330,30,2025-07-22
37,1,8,91,30,2025-11-10
38,1,91,428,12,2025-11-26
39,1,47,144,30,2025-10-17
40,1,74,387,46,2025-01-21
41,1,94,452,42,2025-01-29
42,1,77,370,18,2025-09-12
43,1,287,32,14,2025-03-13
44,1,61,77,16,2025-09-25
45,1,78,83,25,2025-02-17
46,1,64,386,33,2025-07-02
47,1,235,173,15,2025-07-31
48,1,230,175,14,2025-09-10
49,1,112,205,44,2025-02-01
50,1,232,268,36,2025-11-25
51,1,181,404,35,2025-12-22
52,1,145,79,45,2025-02-15
53,1,240,416,23,2025-08-18
54,1,76,81,17,2026-01-26
55,1,298,466,26,2025-04-27
56,1,279,122,13,2025-11-27
57,1,98,349,45,2025-01-13
58,1,93,26,24,2025-09-03
59,1,193,21,12,2025-04-23
60,1,26,388,24,2025-03-20
61,1,233,488,18,2025-09-14
62,1,60,163,30,2025-07-18
63,1,7,387,50,2025-12-10
64,1,186,202,11,2025-09-19
65,1,174,391,28,2025-09-10
66,1,31,12,36,2025-10-09
67,1,23,34,12,2025-04-13
68,1,257,301,12,2025-04-17
69,1,57,117,47,2025-09-09
70,1,187,3,32,2025-12-26
71,1,109,41,47,2025-07-08
72,1,127,260,20,2025-07-23
73,1,231,108,19,2025-10-02
74,1,194,3,50,2026-01-17
75,1,130,318,28,2025-05-17
76,1,283,284,33,2025-09-19
77,1,83,198,20,2025-04-14
78,1,85,386,48,2025-05-12
79,1,67,171,22,2025-06-17
80,1,289,459,26,2025-07-21
81,1,164,61,28,2025-08-20
82,1,155,14,38,2025-11-05
83,1,20,495,42,2026-01-30
84,1,125,207,23,2025-04-05
85,1,80,57,12,2025-07-18
86,1,115,411,16,2026-01-16
87,1,119,477,23,2025-04-13
88,1,73,388,46,2026-01-12
89,1,16,382,29,2025-12-20
90,1,11,345,23,2025-10-31
91,1,195,418,29,2025-07-04
92,1,102,237,13,2025-11-28
93,1,69,320,24,2025-10-18
94,1,225,455,26,2025-04-22
95,1,38,261,11,2025-06-08
96,1,17,6,23,2025-04-03
97,1,180,440,31,2025-04-16
98,1,148,255,34,2026-01-04
99,1,275,167,39,2025-07-20
100,1,68,308,20,2025-09-09
101,1,229,245,45,2025-11-02
102,1,70,146,25,2025-02-09
103,1,32,315,16,2025-01-01
104,1,184,436,11,2025-11-14
105,1,266,25,10,2025-05-21
106,1,226,476,10,2025-06-05
107,1,141,227,34,2026-01-09
108,1,19,290,20,2025-02-19
109,1,182,27,33,2025-04-21
110,1,97,330,22,2025-08-05
111,1,133,379,33,2025-02-08
112,1,263,143,36,2025-12-01
113,1,87,11,29,2026-01-30
114,1,249,17,17,2025-06-04
115,1,246,72,26,2025-08-22
116,1,117,476,23,2025-03-03
117,1,147,470,50,2026-01-17
118,1,293,487,11,2025-09-01
119,1,198,89,10,2025-02-27
120,1,207,44,25,2025-08-22
121,1,56,445,47,2025-12-22
122,1,173,285,27,2025-05-19
123,1,185,11,46,2025-09-03
124,1,168,32,19,2025-04-21
125,1,140,33,35,2025-12-14
126,1,254,193,11,2025-01-20
127,1,39,254,37,2025-08-27
128,1,126,211,21,2025-01-07
129,1,196,295,12,2025-12-03
130,1,284,32,27,2025-12-30
131,1,138,144,40,2025-04-14
132,1,113,410,27,2025-01-13
133,1,169,343,27,2025-04-07
134,1,118,120,38,2025-01-01
135,1,278,332,12,2025-10-16
136,1,272,427,37,2025-10-14
137,1,156,487,41,2025-04-29
138,1,177,366,13,2025-05-27
139,1,179,186,15,2025-11-03
140,1,3,188,39,2025-08-30
141,1,116,278,20,2025-07-11
142,1,144,337,33,2026-01-07
143,1,178,282,44,2025-03-16
144,1,121,164,50,2025-06-27
145,1,211,208,21,2025-10-25
146,1,261,205,33,2025-08-28
147,1,128,177,28,2025-03-17
148,1,75,416,41,2025-12-12
149,1,30,277,36,2025-07-04
150,1,84,492,37,2025-02-14
151,1,270,308,26,2025-03-12
152,1,108,170,32,2025-11-27
153,1,224,238,38,2026-01-21
154,1,159,276,20,2025-01-22
155,1,281,175,42,2025-11-17
156,1,247,74,48,2025-06-24
157,1,223,276,50,2026-01-17
158,1,66,81,46,2025-03-13
159,1,199,500,23,2025-12-21
160,1,86,202,15,2025-08-03
161,1,214,450,17,2025-09-14
162,1,160,278,12,2025-09-24
163,1,13,53,46,2025-01-03
164,1,36,130,45,2025-12-07
165,1,29,482,20,2026-01-14
166,1,143,116,31,2025-09-08
167,1,285,59,30,2026-01-10
168,1,255,428,33,2025-10-08
169,1,171,479,35,2025-09-25
170,1,52,336,35,2025-04-23
171,1,96,295,32,2026-01-19
172,1,209,208,16,2025-04-26
173,1,248,327,39,2025-03-21
174,1,42,427,22,2026-01-02
175,1,90,0,42,2025-02-25
176,1,245,253,19,2025-02-06
177,1,137,355,29,2025-05-04
178,1,27,386,35,2025-06-05
179,1,294,422,23,2025-10-05
180,1,142,326,16,2025-04-08
181,1,201,12,11,2025-01-16
182,1,1,151,17,2025-04-17
183,1,269,95,14,2025-02-04
184,1,273,129,38,2025-03-02
185,1,101,216,32,2025-12-05
186,1,260,206,10,2025-12-24
187,1,256,305,29,2025-06-25
188,1,172,198,33,2025-04-17
189,1,99,155,37,2025-11-14
190,1,37,301,40,2025-11-22
191,1,62,314,47,2025-01-22
192,1,151,347,41,2025-01-17
193,1,237,255,30,2025-06-29
194,1,203,15,26,2025-12-25
195,1,243,242,34,2026-01-21
196,1,12,275,16,2025-08-05
197,1,297,352,47,2025-11-14
198,2,249,485,41,2025-01-14
199,2,199,194,12,2025-09-07
200,2,165,388,15,2025-09-01
201,2,72,129,44,2025-02-17
202,2,133,42,25,2026-01-06
203,2,259,425,50,2025-02-18
204,2,189,232,34,2026-01-19
205,2,3,172,25,2025-11-06
206,2,272,240,12,2025-06-15
207,2,78,158,45,2026-02-02
208,2,296,360,38,2025-04-21
209,2,245,314,36,2025-02-18
210,2,110,5,18,2025-10-31
211,2,112,441,11,2025-09-17
212,2,138,227,14,2025-09-15
213,2,148,92,39,2025-05-21
214,2,210,356,46,2025-07-18
215,2,102,410,44,2025-12-01
216,2,205,370,13,2025-05-10
217,2,184,299,17,2025-12-24
218,2,121,264,41,2025-03-31
219,2,200,461,38,2025-05-31
220,2,230,437,20,2025-01-21
221,2,299,148,48,2025-06-19
