order_id,customer_id,product_id,store_id,employee_id,order_date,quantity,unit_price,discount_pct,payment_method,order_status,total_price,order_month
1,607,235,3,43,2023-05-20,5.0,265.0,0.2,Credit Card,Completed,1060.0,2023-05
2,334,84,8,39,2023-09-29,3.0,38.26,0.0,Credit Card,Cancelled,114.78,2023-09
3,848,133,8,39,2025-08-05,6.0,321.54,0.2,Gift Card,Completed,1543.39,2025-08
4,1416,254,11,33,2024-10-19,3.0,307.61,0.05,PayPal,Completed,876.69,2024-10
5,1917,94,13,49,2024-06-24,1.0,325.59,0.05,PayPal,Cancelled,309.31,2024-06
6,1787,226,4,35,2023-11-12,4.0,522.95,0.15,Cash,Completed,1778.03,2023-11
7,369,80,9,25,2024-10-10,5.0,249.35,0.0,Gift Card,Cancelled,1246.75,2024-10
8,1460,131,7,40,2025-11-04,2.0,582.03,0.0,Debit Card,Pending,1164.06,2025-11
9,925,294,11,7,2023-06-06,2.0,345.43,0.0,Credit Card,Completed,690.86,2023-06
10,245,272,2,3,2025-07-26,5.0,596.66,0.0,Cash,Completed,2983.3,2025-07
11,852,26,12,17,2023-06-01,4.0,68.26,0.2,Gift Card,Completed,218.43,2023-06
12,74,116,5,48,2023-11-06,5.0,365.71,0.1,Cash,Shipped,1645.7,2023-11
13,652,57,3,43,2025-10-08,1.0,207.9,0.0,Debit Card,Completed,207.9,2025-10
14,1937,199,15,18,2024-06-05,2.0,314.59,0.0,Debit Card,Pending,629.18,2024-06
15,739,149,3,20,2023-11-03,4.0,431.72,0.0,Cash,Returned,1726.88,2023-11
16,1211,196,11,12,2024-01-29,2.0,222.19,0.15,PayPal,Completed,377.72,2024-01
17,415,149,14,8,2024-08-25,3.0,431.72,0.05,Cash,Completed,1230.4,2024-08
18,1042,298,9,38,2024-11-08,4.0,202.95,0.0,Credit Card,Completed,811.8,2024-11
19,1258,194,14,47,2025-11-05,1.0,35.78,0.1,Debit Card,Cancelled,32.2,2025-11
20,1018,132,13,46,2024-01-08,4.0,127.63,0.05,Debit Card,Completed,484.99,2024-01
21,1518,163,15,27,2025-04-28,2.0,270.34,0.0,Gift Card,Completed,540.68,2025-04
