order_id,customer_id,product_id,store_id,employee_id,order_date,quantity,unit_price,discount_pct,payment_method,order_status
1,607,235,3,43,2023-05-20,5,265.0,0.2,Credit Card,Completed
2,334,84,8,39,2023-09-29,3,38.26,0.0,Credit Card,Cancelled
3,848,133,8,39,2025-08-05,6,321.54,0.2,Gift Card,Completed
4,1416,254,11,33,2024-10-19,3,307.61,0.05,PayPal,Completed
5,1917,94,13,49,2024-06-24,1,325.59,0.05,PayPal,Cancelled
6,1787,226,4,35,2023-11-12,4,522.95,0.15,Cash,Completed
7,369,80,9,25,2024-10-10,5,249.35,0.0,Gift Card,Cancelled
8,1460,131,7,40,2025-11-04,2,582.03,0.0,Debit Card,Pending
9,925,294,11,7,2023-06-06,2,345.43,0.0,Credit Card,Completed
10,245,272,2,3,2025-07-26,5,596.66,0.0,Cash,Completed
11,852,26,12,17,2023-06-01,4,68.26,0.2,Gift Card,Completed
12,74,116,5,48,2023-11-06,5,365.71,0.1,Cash,Shipped
13,652,57,3,43,2025-10-08,1,207.9,0.0,Debit Card,Completed
14,1937,199,15,18,2024-06-05,2,314.59,0.0,Debit Card,Pending
15,739,149,3,20,2023-11-03,4,431.72,0.0,Cash,Returned
16,1211,196,11,12,2024-01-29,2,222.19,0.15,PayPal,Completed
17,415,149,14,8,2024-08-25,3,431.72,0.05,Cash,Completed
18,1042,298,9,38,2024-11-08,4,202.95,0.0,Credit Card,Completed
19,1258,194,14,47,2025-11-05,1,35.78,0.1,Debit Card,Cancelled
20,1018,132,13,46,2024-01-08,4,127.63,0.05,Debit Card,Completed
21,1518,163,15,27,2025-04-28,2,270.34,0.0,Gift Card,Completed
22,972,164,15,18,2023-12-16,3,117.71,0.1,Credit Card,Completed
23,1815,205,7,2,2024-12-16,2,370.78,0.2,Credit Card,Completed
24,1173,81,11,12,2023-11-06,1,379.78,0.0,Gift Card,Cancelled
25,311,163,4,26,2024-10-08,6,270.34,0.15,Debit Card,Returned
26,949,79,7,2,2025-04-16,2,143.89,0.2,Debit Card,Shipped
27,773,39,1,50,2024-11-17,5,340.31,0.1,PayPal,Completed
28,399,105,6,9,2023-08-08,2,500.45,0.15,Credit Card,Completed
29,1095,115,5,48,2023-11-18,6,295.79,0.0,Debit Card,Completed
30,1602,40,2,28,2025-02-01,6,408.98,0.0,Cash,Completed
31,1782,223,9,25,2025-05-04,5,162.74,0.05,Cash,Returned
32,213,299,15,5,2023-08-13,5,150.33,0.0,PayPal,Shipped
33,798,159,9,25,2024-09-17,2,323.53,0.2,Credit Card,Completed
34,364,292,13,46,2025-10-26,4,398.38,0.05,Debit Card,Pending
35,1067,168,14,47,2025-03-05,6,303.92,0.05,Gift Card,Shipped
36,1588,61,12,11,2025-06-10,6,172.42,0.0,Cash,Completed
37,229,73,11,7,2025-06-12,2,68.44,0.0,Debit Card,Completed
38,626,33,3,20,2023-04-04,3,422.83,0.0,PayPal,Shipped
